BARCODE	INDEs	DATE	S.TIME	E.TIME	CYCLE	JOB	RESULT	USER	LOTINFO	MACHINE	SIDE
 	 5074	2020-11-27	10:19:59	10:20:15	   16	5000-001432	GuD	SV	 	KOHYOUNG	T
Component ID	PadID	Height(um)	Volume(%)	 Area(%)	OffsetX(mm)	OffsetY(mm)	     Job	    Spec	Array	PinNumber	  Result	 Barcode	
      1:D1	    1	 159.849	 128.818	 102.346	  -0.016	  -0.019	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	    2	 165.376	 134.339	 103.165	  -0.016	  -0.018	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	    3	 150.649	 121.707	 102.601	  -0.026	  -0.016	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	    4	 136.687	 108.291	 100.616	  -0.012	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	    5	 136.588	 107.644	 100.087	  -0.014	  -0.018	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	    6	 140.203	 110.749	 100.320	  -0.015	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	    7	 141.579	 112.194	 100.640	  -0.015	  -0.006	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	    8	 153.695	 124.750	 103.083	  -0.032	  -0.003	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	    9	 159.944	 128.677	 102.173	  -0.010	  -0.014	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	   10	 162.717	 131.219	 102.416	  -0.015	  -0.012	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   11	 147.858	 119.325	 102.492	  -0.009	  -0.009	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	   12	 139.909	 111.047	 100.802	  -0.008	  -0.008	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   13	 137.904	 108.825	 100.221	  -0.012	  -0.009	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	   14	 143.537	 113.756	 100.651	  -0.010	   0.002	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	   15	 141.551	 112.453	 100.893	  -0.015	  -0.001	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	   16	 153.154	 124.524	 103.259	  -0.028	   0.006	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	   17	 161.119	 129.023	 101.701	  -0.002	  -0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	   18	 161.060	 129.632	 102.218	  -0.005	  -0.009	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   19	 154.882	 125.384	 102.812	  -0.009	  -0.003	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	   20	 141.783	 111.968	 100.294	  -0.007	  -0.012	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   21	 139.913	 110.132	  99.967	  -0.003	  -0.013	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	   22	 142.551	 113.614	 101.220	  -0.005	   0.004	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	   23	 144.017	 114.592	 101.052	  -0.008	   0.006	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	   24	 154.334	 126.138	 103.798	  -0.032	   0.009	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	   25	 166.483	 134.083	 102.284	  -0.008	  -0.008	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	   26	 165.251	 133.429	 102.544	  -0.006	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   27	 154.548	 124.332	 102.170	  -0.010	  -0.008	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	   28	 147.632	 116.620	 100.323	  -0.003	  -0.007	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   29	 141.321	 111.964	 100.618	  -0.006	  -0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	   30	 148.325	 117.362	 100.489	  -0.007	  -0.002	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	   31	 144.244	 114.791	 101.068	  -0.008	  -0.003	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	   32	 150.425	 122.128	 103.110	  -0.017	   0.004	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	   33	 163.550	 131.403	 102.037	   0.000	  -0.013	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	   34	 164.168	 132.730	 102.680	   0.001	  -0.017	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   35	 156.684	 126.250	 102.331	  -0.012	  -0.027	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	   36	 149.649	 118.357	 100.444	   0.007	  -0.016	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   37	 142.271	 113.092	 100.953	   0.000	  -0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	   38	 152.768	 121.184	 100.744	  -0.001	   0.001	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	   39	 146.253	 116.667	 101.308	  -0.001	   0.000	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	   40	 154.924	 125.432	 102.824	  -0.006	  -0.008	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	   41	 175.644	 141.365	 102.214	   0.006	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
